SALE_ID,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,CUSTOMER_NAME,REGION,SALE_DATE,PAYMENT_METHOD,CREATED_AT
39,Webcam,Audio,2,1911.24,1986.11,Carol White,North America,2025-03-18,PayPal,2026-07-30 00:07:34.800
40,Speaker,Computing,13,279.94,19206.40,Frank Wilson,Asia Pacific,2025-08-19,Debit Card,2026-07-30 00:07:34.800
41,Webcam,Storage,17,632.96,4276.75,Carol White,Middle East,2024-11-18,Wire Transfer,2026-07-30 00:07:34.800
42,Headphones,Computing,2,807.90,24307.36,Carol White,Asia Pacific,2026-04-09,PayPal,2026-07-30 00:07:34.800
43,Monitor,Electronics,2,1046.63,27063.72,Emma Davis,Asia Pacific,2025-12-05,PayPal,2026-07-30 00:07:34.800
44,Speaker,Accessories,1,72.73,1788.50,Henry Taylor,Middle East,2025-10-04,Wire Transfer,2026-07-30 00:07:34.800
45,Tablet,Audio,4,420.88,8353.76,Grace Lee,Europe,2026-05-17,PayPal,2026-07-30 00:07:34.800
46,Mouse,Audio,20,1192.81,9900.35,Emma Davis,Latin America,2025-11-21,Debit Card,2026-07-30 00:07:34.800
47,Phone,Computing,8,1917.70,11857.70,Bob Smith,Latin America,2025-08-09,Credit Card,2026-07-30 00:07:34.800
48,Speaker,Storage,11,1534.56,16973.80,Frank Wilson,Europe,2026-07-10,Debit Card,2026-07-30 00:07:34.800
49,Phone,Accessories,11,942.62,10906.84,David Brown,Middle East,2024-08-08,PayPal,2026-07-30 00:07:34.800
50,Webcam,Computing,17,1472.47,1164.48,Bob Smith,Latin America,2025-09-15,Cash,2026-07-30 00:07:34.800
51,Phone,Accessories,18,1610.12,728.90,Carol White,North America,2025-06-14,PayPal,2026-07-30 00:07:34.800
52,Monitor,Audio,3,121.56,3873.87,Frank Wilson,Middle East,2026-04-23,Cash,2026-07-30 00:07:34.800
53,Headphones,Accessories,11,704.27,6058.64,Grace Lee,Latin America,2024-10-07,Credit Card,2026-07-30 00:07:34.800
54,Webcam,Computing,16,1648.86,19082.20,Frank Wilson,Latin America,2026-02-13,Cash,2026-07-30 00:07:34.800
55,Laptop,Electronics,17,1908.56,13433.44,Alice Johnson,North America,2026-06-18,PayPal,2026-07-30 00:07:34.800
56,Laptop,Electronics,15,1264.68,17591.36,Jack Moore,North America,2025-06-01,Credit Card,2026-07-30 00:07:34.800
57,Webcam,Electronics,2,1720.53,1412.46,Alice Johnson,Latin America,2026-01-09,PayPal,2026-07-30 00:07:34.800
58,Webcam,Storage,12,1158.34,3894.96,David Brown,Middle East,2026-02-14,Cash,2026-07-30 00:07:34.800
59,Laptop,Audio,17,1071.13,37773.80,Carol White,North America,2024-08-29,Credit Card,2026-07-30 00:07:34.800
60,Webcam,Storage,16,1670.29,9048.71,Emma Davis,Latin America,2025-02-22,Debit Card,2026-07-30 00:07:34.800
61,Keyboard,Computing,3,1842.09,29528.70,Frank Wilson,Latin America,2026-04-04,PayPal,2026-07-30 00:07:34.800
62,Laptop,Audio,2,553.17,878.58,Carol White,North America,2026-05-26,Cash,2026-07-30 00:07:34.800
63,Keyboard,Computing,4,1321.35,28116.30,Henry Taylor,Europe,2026-07-29,PayPal,2026-07-30 00:07:34.800
64,Phone,Accessories,2,1249.01,12504.52,Frank Wilson,Middle East,2024-10-15,PayPal,2026-07-30 00:07:34.800
65,Mouse,Audio,8,299.55,560.56,Frank Wilson,Middle East,2025-05-22,Wire Transfer,2026-07-30 00:07:34.800
66,Keyboard,Computing,11,1715.39,2346.15,Grace Lee,Asia Pacific,2024-11-17,Cash,2026-07-30 00:07:34.800
67,Tablet,Accessories,1,1186.52,881.88,Emma Davis,Europe,2025-05-09,Cash,2026-07-30 00:07:34.800
68,SSD,Storage,15,93.89,13743.34,Henry Taylor,Latin America,2026-06-03,Cash,2026-07-30 00:07:34.800
69,Speaker,Electronics,20,1320.72,4173.52,Carol White,Latin America,2024-08-07,Wire Transfer,2026-07-30 00:07:34.800
70,Tablet,Audio,6,93.19,34975.62,Frank Wilson,Europe,2025-10-02,Wire Transfer,2026-07-30 00:07:34.800
71,Speaker,Storage,14,267.64,13542.87,David Brown,North America,2024-12-29,Credit Card,2026-07-30 00:07:34.800
72,Tablet,Audio,10,1198.69,7996.08,Frank Wilson,North America,2024-10-31,Wire Transfer,2026-07-30 00:07:34.800
73,Speaker,Accessories,13,1492.37,33035.49,Carol White,North America,2025-06-03,PayPal,2026-07-30 00:07:34.800
74,Webcam,Audio,12,1443.72,1939.48,Frank Wilson,Middle East,2026-03-21,Cash,2026-07-30 00:07:34.800
75,Tablet,Storage,20,62.69,8537.20,Alice Johnson,Asia Pacific,2025-01-11,Cash,2026-07-30 00:07:34.800
76,Tablet,Audio,20,413.84,1223.80,Irene Clark,Asia Pacific,2025-11-08,PayPal,2026-07-30 00:07:34.800
77,Monitor,Accessories,10,1197.41,3996.18,Emma Davis,North America,2025-09-16,Debit Card,2026-07-30 00:07:34.800
78,Keyboard,Audio,9,1748.98,1267.19,Frank Wilson,Latin America,2024-08-14,Wire Transfer,2026-07-30 00:07:34.800
79,Keyboard,Accessories,2,1442.74,1567.15,Frank Wilson,Middle East,2024-11-30,Debit Card,2026-07-30 00:07:34.800
80,Mouse,Audio,17,1872.35,6715.35,Jack Moore,Middle East,2025-03-21,Debit Card,2026-07-30 00:07:34.800
81,Monitor,Computing,17,961.53,2455.56,David Brown,Europe,2024-09-28,Credit Card,2026-07-30 00:07:34.800
82,SSD,Storage,4,196.73,31389.12,David Brown,North America,2025-09-02,Cash,2026-07-30 00:07:34.800
83,SSD,Audio,3,409.57,3327.72,Jack Moore,Middle East,2026-07-03,Credit Card,2026-07-30 00:07:34.800
84,Headphones,Computing,10,1792.75,13990.20,Carol White,Asia Pacific,2025-09-21,Credit Card,2026-07-30 00:07:34.800
85,Keyboard,Computing,7,1714.84,4720.26,David Brown,North America,2025-02-15,PayPal,2026-07-30 00:07:34.800
86,Tablet,Electronics,15,679.35,17695.35,Carol White,Asia Pacific,2024-11-29,Wire Transfer,2026-07-30 00:07:34.800
87,Laptop,Accessories,19,382.33,7357.45,Jack Moore,Europe,2024-12-18,PayPal,2026-07-30 00:07:34.800
88,Monitor,Storage,4,549.26,2344.18,Carol White,Latin America,2025-04-28,PayPal,2026-07-30 00:07:34.800
89,Monitor,Storage,14,484.28,1003.04,Carol White,North America,2024-09-20,Credit Card,2026-07-30 00:07:34.800
90,Phone,Electronics,14,794.53,27847.20,Grace Lee,Middle East,2025-05-01,Cash,2026-07-30 00:07:34.800
91,Tablet,Accessories,20,932.27,20711.34,Grace Lee,Europe,2026-07-01,Wire Transfer,2026-07-30 00:07:34.800
92,Speaker,Accessories,14,1253.65,9471.28,Carol White,Latin America,2025-08-19,Cash,2026-07-30 00:07:34.800
93,Tablet,Electronics,7,391.96,11606.53,Jack Moore,Middle East,2026-07-19,Debit Card,2026-07-30 00:07:34.800
94,Tablet,Audio,6,479.13,14649.92,Irene Clark,Europe,2024-09-14,Wire Transfer,2026-07-30 00:07:34.800
95,Webcam,Electronics,9,1254.43,14792.64,Henry Taylor,Latin America,2025-01-09,PayPal,2026-07-30 00:07:34.800
96,Mouse,Audio,8,1305.25,1148.72,Frank Wilson,North America,2025-05-28,Debit Card,2026-07-30 00:07:34.800
97,Keyboard,Electronics,16,53.48,2270.12,Bob Smith,Middle East,2024-09-12,Credit Card,2026-07-30 00:07:34.800
98,Mouse,Storage,3,1917.70,17580.15,Frank Wilson,Asia Pacific,2025-10-24,PayPal,2026-07-30 00:07:34.800
99,Phone,Electronics,20,1238.65,1245.39,Carol White,Europe,2024-11-29,Cash,2026-07-30 00:07:34.800
100,Webcam,Storage,5,1068.08,11241.12,Carol White,Latin America,2025-07-25,Debit Card,2026-07-30 00:07:34.800
101,Webcam,Electronics,6,691.58,4305.60,Frank Wilson,Asia Pacific,2024-08-03,Cash,2026-07-30 00:07:34.800
102,Monitor,Computing,4,1693.66,7721.55,Bob Smith,Latin America,2026-04-27,Wire Transfer,2026-07-30 00:07:34.800
103,Phone,Accessories,7,1229.09,9975.00,Carol White,Europe,2024-12-20,Debit Card,2026-07-30 00:07:34.800
104,Keyboard,Storage,16,1787.72,15861.28,Alice Johnson,Latin America,2024-11-11,Debit Card,2026-07-30 00:07:34.800
105,Tablet,Computing,9,1352.33,8690.89,Grace Lee,Europe,2025-03-19,Cash,2026-07-30 00:07:34.800
106,Headphones,Electronics,6,831.18,5075.13,Emma Davis,Latin America,2024-10-25,Wire Transfer,2026-07-30 00:07:34.800
107,Monitor,Electronics,1,822.33,3401.96,Jack Moore,Asia Pacific,2025-02-27,Debit Card,2026-07-30 00:07:34.800
108,Headphones,Audio,20,105.42,14792.49,Jack Moore,Europe,2024-08-27,Cash,2026-07-30 00:07:34.800
109,Laptop,Storage,8,125.91,19395.53,Irene Clark,Europe,2024-08-11,Debit Card,2026-07-30 00:07:34.800
110,Tablet,Accessories,17,1273.84,10416.28,Frank Wilson,Asia Pacific,2025-05-11,Wire Transfer,2026-07-30 00:07:34.800
111,Keyboard,Computing,13,1488.77,36618.00,Henry Taylor,North America,2026-05-03,Debit Card,2026-07-30 00:07:34.800
112,Tablet,Accessories,9,1746.24,21190.20,Grace Lee,North America,2024-12-14,Wire Transfer,2026-07-30 00:07:34.800
113,Mouse,Storage,20,1146.83,742.22,Emma Davis,Latin America,2024-08-13,Debit Card,2026-07-30 00:07:34.800
114,Phone,Computing,5,496.66,2010.08,Alice Johnson,Europe,2024-09-04,PayPal,2026-07-30 00:07:34.800
115,Webcam,Storage,13,621.92,3573.40,David Brown,Latin America,2024-10-13,PayPal,2026-07-30 00:07:34.800
116,Monitor,Storage,20,809.74,5687.64,Carol White,Europe,2025-09-07,Wire Transfer,2026-07-30 00:07:34.800
117,Webcam,Audio,12,70.64,9709.36,Emma Davis,Middle East,2026-06-04,Credit Card,2026-07-30 00:07:34.800
118,Webcam,Electronics,20,475.87,16325.26,Carol White,Europe,2024-10-27,Cash,2026-07-30 00:07:34.800
119,Laptop,Audio,12,1157.51,3850.02,David Brown,North America,2025-12-10,Cash,2026-07-30 00:07:34.800
120,Keyboard,Accessories,20,1271.35,6427.44,David Brown,Asia Pacific,2025-04-27,Credit Card,2026-07-30 00:07:34.800
121,Speaker,Accessories,18,1244.03,5807.36,Bob Smith,Latin America,2026-01-30,Debit Card,2026-07-30 00:07:34.800
122,Mouse,Storage,16,688.12,13411.23,Grace Lee,North America,2025-09-29,Debit Card,2026-07-30 00:07:34.800
123,Laptop,Storage,5,490.01,25515.98,Carol White,Europe,2024-11-12,Debit Card,2026-07-30 00:07:34.800
124,Speaker,Electronics,8,711.23,23957.82,Irene Clark,Asia Pacific,2025-02-07,Cash,2026-07-30 00:07:34.800
125,Keyboard,Audio,7,1338.90,807.92,Alice Johnson,Europe,2024-08-11,PayPal,2026-07-30 00:07:34.800
126,Webcam,Storage,6,110.94,21366.95,David Brown,Middle East,2025-11-11,Credit Card,2026-07-30 00:07:34.800
127,Mouse,Accessories,7,1091.80,25594.33,Emma Davis,Europe,2026-05-29,Cash,2026-07-30 00:07:34.800
128,Speaker,Computing,17,1030.15,613.62,Bob Smith,Europe,2026-04-19,Wire Transfer,2026-07-30 00:07:34.800
129,Mouse,Accessories,19,554.40,17914.65,Henry Taylor,Middle East,2025-12-26,PayPal,2026-07-30 00:07:34.800
130,Headphones,Storage,19,234.85,3351.30,Jack Moore,Asia Pacific,2025-02-20,Debit Card,2026-07-30 00:07:34.800
131,Mouse,Audio,7,770.59,6035.38,Alice Johnson,Asia Pacific,2024-08-25,Wire Transfer,2026-07-30 00:07:34.800
132,Phone,Storage,19,1035.70,2250.18,David Brown,Latin America,2025-11-29,Debit Card,2026-07-30 00:07:34.800
133,Laptop,Electronics,3,986.38,6997.23,David Brown,Asia Pacific,2025-01-15,PayPal,2026-07-30 00:07:34.800
134,SSD,Computing,6,146.55,10394.86,Bob Smith,Latin America,2024-10-21,Wire Transfer,2026-07-30 00:07:34.800
135,Phone,Audio,16,1933.66,4734.62,Emma Davis,Asia Pacific,2024-10-11,Wire Transfer,2026-07-30 00:07:34.800
136,Laptop,Electronics,14,1401.91,8475.32,Irene Clark,North America,2025-07-06,PayPal,2026-07-30 00:07:34.800
137,Laptop,Accessories,5,1477.67,7616.96,Grace Lee,Asia Pacific,2025-12-06,PayPal,2026-07-30 00:07:34.800
138,Keyboard,Computing,13,609.09,11692.35,Grace Lee,Europe,2025-03-27,Wire Transfer,2026-07-30 00:07:34.800
139,Monitor,Electronics,2,1799.92,5500.01,Carol White,North America,2025-12-09,Cash,2026-07-30 00:07:34.800
140,Keyboard,Storage,2,1108.34,498.27,Carol White,North America,2025-04-26,Wire Transfer,2026-07-30 00:07:34.800
141,Monitor,Electronics,14,1132.31,3971.00,Henry Taylor,Asia Pacific,2026-05-07,Credit Card,2026-07-30 00:07:34.800
142,Headphones,Storage,12,1443.76,27554.75,Bob Smith,Middle East,2024-09-20,Credit Card,2026-07-30 00:07:34.800
143,Laptop,Storage,7,1426.58,5250.96,Carol White,Europe,2025-10-23,Wire Transfer,2026-07-30 00:07:34.800
144,Speaker,Accessories,20,1235.28,7837.05,Emma Davis,Latin America,2025-06-29,Wire Transfer,2026-07-30 00:07:34.800
145,Phone,Storage,9,466.69,15706.80,Frank Wilson,Latin America,2026-01-29,Cash,2026-07-30 00:07:34.800
146,Mouse,Accessories,15,465.14,11433.15,Grace Lee,Middle East,2025-07-07,Wire Transfer,2026-07-30 00:07:34.800
147,Phone,Computing,9,1766.98,142.94,Irene Clark,Middle East,2026-02-27,Wire Transfer,2026-07-30 00:07:34.800
148,Tablet,Electronics,18,191.39,15013.12,Frank Wilson,Latin America,2025-09-30,Wire Transfer,2026-07-30 00:07:34.800
149,Headphones,Electronics,5,1527.68,5053.28,Irene Clark,Asia Pacific,2025-06-06,PayPal,2026-07-30 00:07:34.800
150,Headphones,Storage,1,1031.90,2966.16,Grace Lee,Middle East,2026-03-07,PayPal,2026-07-30 00:07:34.800
151,Tablet,Computing,5,518.56,3866.72,Grace Lee,Europe,2024-08-28,Credit Card,2026-07-30 00:07:34.800
152,SSD,Computing,13,909.70,6487.55,Irene Clark,Latin America,2025-06-22,Debit Card,2026-07-30 00:07:34.800
153,Mouse,Storage,17,490.90,654.03,David Brown,North America,2025-01-31,Wire Transfer,2026-07-30 00:07:34.800
154,SSD,Storage,10,165.25,20664.80,Frank Wilson,Middle East,2025-10-27,Cash,2026-07-30 00:07:34.800
155,Tablet,Computing,15,1826.60,4847.59,Emma Davis,Asia Pacific,2026-07-18,PayPal,2026-07-30 00:07:34.800
156,Monitor,Storage,8,331.51,519.61,Emma Davis,Asia Pacific,2026-02-10,Wire Transfer,2026-07-30 00:07:34.800
157,Mouse,Computing,15,268.43,3700.38,Bob Smith,North America,2024-12-25,Credit Card,2026-07-30 00:07:34.800
158,Phone,Electronics,9,942.98,14998.00,Jack Moore,North America,2026-04-04,PayPal,2026-07-30 00:07:34.800
159,Phone,Storage,8,1981.39,22556.70,Grace Lee,North America,2025-03-29,Wire Transfer,2026-07-30 00:07:34.800
160,Monitor,Computing,5,888.82,24694.93,Jack Moore,Asia Pacific,2025-01-22,PayPal,2026-07-30 00:07:34.800
161,Webcam,Audio,4,745.53,5156.73,Emma Davis,Middle East,2025-11-01,Debit Card,2026-07-30 00:07:34.800
162,Monitor,Electronics,20,318.55,1703.56,Irene Clark,North America,2025-11-02,Credit Card,2026-07-30 00:07:34.800
163,SSD,Electronics,18,1433.76,13682.52,Emma Davis,Europe,2024-12-09,Credit Card,2026-07-30 00:07:34.800
164,Laptop,Computing,14,1731.33,1691.00,Grace Lee,Middle East,2025-04-08,Wire Transfer,2026-07-30 00:07:34.800
165,Headphones,Electronics,2,1652.86,30891.24,Irene Clark,Europe,2026-02-19,Credit Card,2026-07-30 00:07:34.800
166,Phone,Computing,13,1091.41,29755.20,Jack Moore,Middle East,2025-02-11,PayPal,2026-07-30 00:07:34.800
167,Phone,Audio,15,565.36,12750.12,Alice Johnson,North America,2026-01-22,Credit Card,2026-07-30 00:07:34.800
168,Speaker,Accessories,19,1356.17,23700.55,Frank Wilson,Middle East,2025-02-06,Credit Card,2026-07-30 00:07:34.800
169,Tablet,Electronics,17,987.75,3619.30,Jack Moore,Europe,2024-08-26,Wire Transfer,2026-07-30 00:07:34.800
170,Monitor,Computing,15,181.79,13074.46,Bob Smith,Latin America,2024-12-16,Debit Card,2026-07-30 00:07:34.800
171,Mouse,Audio,15,79.02,6255.20,Irene Clark,Asia Pacific,2025-11-29,Debit Card,2026-07-30 00:07:34.800
172,Keyboard,Storage,17,213.75,10531.99,David Brown,Middle East,2025-01-31,Cash,2026-07-30 00:07:34.800
173,SSD,Accessories,5,652.76,5734.02,Frank Wilson,North America,2024-11-29,PayPal,2026-07-30 00:07:34.800
174,Webcam,Audio,9,1112.40,15173.08,Alice Johnson,Europe,2025-09-24,Debit Card,2026-07-30 00:07:34.800
175,Laptop,Storage,10,1570.92,1908.60,Irene Clark,Europe,2026-02-13,PayPal,2026-07-30 00:07:34.800
176,Monitor,Audio,14,1382.48,6073.20,Grace Lee,North America,2025-09-22,Debit Card,2026-07-30 00:07:34.800
177,Speaker,Accessories,14,1778.53,14397.60,Grace Lee,Europe,2025-01-02,Wire Transfer,2026-07-30 00:07:34.800
178,SSD,Audio,4,1574.34,16571.39,Bob Smith,Middle East,2025-05-24,PayPal,2026-07-30 00:07:34.800
179,SSD,Computing,18,1408.25,5509.83,Jack Moore,Latin America,2026-07-05,Debit Card,2026-07-30 00:07:34.800
180,Webcam,Computing,18,588.71,11565.99,Irene Clark,Europe,2025-12-07,Debit Card,2026-07-30 00:07:34.800
181,Tablet,Electronics,11,22.25,1126.02,Emma Davis,Asia Pacific,2025-04-29,PayPal,2026-07-30 00:07:34.800
182,Headphones,Electronics,1,561.83,26655.60,Frank Wilson,North America,2025-08-01,Debit Card,2026-07-30 00:07:34.800
183,Monitor,Electronics,9,592.65,5134.64,Jack Moore,Latin America,2025-03-22,Debit Card,2026-07-30 00:07:34.800
184,Laptop,Storage,2,466.03,5755.12,Frank Wilson,Asia Pacific,2024-09-16,PayPal,2026-07-30 00:07:34.800
185,Laptop,Storage,9,421.78,14342.04,David Brown,North America,2026-03-05,Cash,2026-07-30 00:07:34.800
186,Webcam,Electronics,17,1357.06,7961.03,Jack Moore,Asia Pacific,2025-01-14,Debit Card,2026-07-30 00:07:34.800
187,Speaker,Storage,18,847.16,2846.36,Bob Smith,North America,2026-03-09,PayPal,2026-07-30 00:07:34.800
188,SSD,Accessories,17,1505.14,9753.30,Carol White,Middle East,2025-11-14,Credit Card,2026-07-30 00:07:34.800
189,Keyboard,Storage,13,1454.08,17000.16,Bob Smith,Asia Pacific,2024-10-25,Credit Card,2026-07-30 00:07:34.800
190,Tablet,Computing,8,1370.47,20482.56,Frank Wilson,Europe,2024-11-04,Debit Card,2026-07-30 00:07:34.800
191,Mouse,Audio,20,36.54,1399.38,Irene Clark,Middle East,2026-07-15,PayPal,2026-07-30 00:07:34.800
192,Monitor,Electronics,17,1298.33,23335.05,Henry Taylor,North America,2025-08-17,Debit Card,2026-07-30 00:07:34.800
193,Phone,Storage,18,1102.77,29505.10,Carol White,Europe,2025-09-06,Wire Transfer,2026-07-30 00:07:34.800
194,Headphones,Storage,20,1190.20,28503.90,David Brown,Europe,2026-05-13,PayPal,2026-07-30 00:07:34.800
195,SSD,Audio,19,1274.56,2969.32,Henry Taylor,Asia Pacific,2024-12-20,Wire Transfer,2026-07-30 00:07:34.800
196,Phone,Accessories,19,401.15,3910.06,Bob Smith,Middle East,2024-12-26,Wire Transfer,2026-07-30 00:07:34.800
197,Monitor,Computing,4,234.18,833.71,Alice Johnson,Middle East,2025-06-20,Credit Card,2026-07-30 00:07:34.800
198,Tablet,Accessories,20,35.75,26721.44,Bob Smith,Middle East,2024-11-14,Credit Card,2026-07-30 00:07:34.800
199,Keyboard,Computing,6,1059.88,7484.73,Bob Smith,Europe,2024-10-26,PayPal,2026-07-30 00:07:34.800
200,Monitor,Storage,8,597.49,4302.28,Bob Smith,Europe,2025-07-04,Wire Transfer,2026-07-30 00:07:34.800
201,Keyboard,Audio,12,878.28,8896.72,Henry Taylor,Asia Pacific,2024-12-17,Debit Card,2026-07-30 00:07:34.800
202,Laptop,Computing,3,1695.99,17790.52,Irene Clark,Latin America,2026-06-23,PayPal,2026-07-30 00:07:34.800
203,Keyboard,Computing,3,1205.83,8453.30,Irene Clark,Europe,2025-04-01,Credit Card,2026-07-30 00:07:34.800
204,Phone,Accessories,2,1489.82,5595.88,David Brown,Asia Pacific,2025-10-18,PayPal,2026-07-30 00:07:34.800
205,Speaker,Audio,18,666.52,1226.82,Bob Smith,North America,2025-01-17,Cash,2026-07-30 00:07:34.800
206,Phone,Storage,10,1802.27,29826.20,David Brown,Europe,2025-07-22,Cash,2026-07-30 00:07:34.800
207,Monitor,Storage,16,621.10,5037.84,Alice Johnson,Middle East,2026-06-23,Wire Transfer,2026-07-30 00:07:34.800
208,Webcam,Electronics,10,1056.46,2244.42,Grace Lee,Middle East,2025-12-25,Debit Card,2026-07-30 00:07:34.800
209,Headphones,Computing,16,1502.88,9463.00,David Brown,Asia Pacific,2026-03-01,PayPal,2026-07-30 00:07:34.800
210,SSD,Electronics,6,1191.21,16700.10,Alice Johnson,Middle East,2025-03-20,Cash,2026-07-30 00:07:34.800
211,Laptop,Accessories,20,1095.19,3789.93,Alice Johnson,Latin America,2024-10-09,PayPal,2026-07-30 00:07:34.800
212,Phone,Storage,20,699.92,1433.82,Carol White,Asia Pacific,2025-01-03,Credit Card,2026-07-30 00:07:34.800
213,Headphones,Audio,14,1097.31,4087.53,Carol White,North America,2025-08-30,PayPal,2026-07-30 00:07:34.800
214,Keyboard,Computing,20,16.01,9067.50,Frank Wilson,North America,2026-06-17,Wire Transfer,2026-07-30 00:07:34.800
215,Phone,Accessories,1,1827.33,1289.84,Jack Moore,Middle East,2025-09-29,Debit Card,2026-07-30 00:07:34.800
216,Laptop,Accessories,8,1838.28,18012.90,Irene Clark,Middle East,2025-10-16,PayPal,2026-07-30 00:07:34.800
217,Tablet,Storage,2,450.35,34154.59,Emma Davis,Latin America,2025-04-13,Wire Transfer,2026-07-30 00:07:34.800
218,Phone,Accessories,6,1161.12,23643.48,David Brown,Asia Pacific,2024-11-09,Cash,2026-07-30 00:07:34.800
219,Phone,Electronics,10,1931.05,9726.30,Frank Wilson,Middle East,2026-06-05,Credit Card,2026-07-30 00:07:34.800
220,Monitor,Computing,16,1306.77,17902.60,Henry Taylor,Latin America,2024-11-25,Credit Card,2026-07-30 00:07:34.800
221,Mouse,Electronics,15,562.30,3846.64,Frank Wilson,Asia Pacific,2025-03-16,Credit Card,2026-07-30 00:07:34.800
